__label__Support	if a state gets in trouble, well, we can step in and see if we can find a way to help them	Let states do this
__label__Support	General Shinsheki, the Army chief of staff, said you're going to need several hundred thousand troops	They avoided even the advice of their own general
__label__Support	We think it is appropriate to return to the American people	The fact is that the program that we put together we think is very responsible
__label__noRel	We will not make war inevitable	what's the message going to be: "Please join us in Iraq. For a grand diversion
__label__Support	I believe we have to get ISIS.	We have to worry about ISIS before we can get too much more involved
__label__Support	make it possible for our young people to invest a portion of their payroll tax into a retirement account that they'll control and give them greater control over their own lives	We want to reform the Social Security system to guarantee benefits will be there for our retired folks
__label__noRel	I don't see how you can grow the deficit down by raising people's taxes	I think we can bring it down by 50% in 4 years and grow the economy
__label__noRel	When Ronald Reagan ran for office, he laid out the principles that he was going to foster	you have to have regulations so that you can have an economy work
__label__noRel	I am going to protect the American taxpayer against the spend and tax Congress	let's live in a world of reality
__label__noRel	I think math, common sense, and our history shows us that's not a recipe for job growth	Under the president's policies, middle-income Americans have been buried
__label__noRel	Intensive reading laboratories, teacher retraining	there needs to be a wholesale effort against racial profiling, which is illiterate children
__label__Support	When I was running -- when we had the debate in 2000, never dreamt I'd be doing that	Never wanted to commit troops
__label__Support	Obama draws the line in the sand	It was laughed at all over the world what happened
__label__noRel	The United States of America, Tom, is the greatest force for good	we can only do it if we can help mobilize the international community and lead
__label__noRel	earmarks account for about $18 billion of our budget	a lot of you remember the tragedy of 9/11
__label__Support	He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns	there's no way we can know whether any of that is true
__label__Support	The rest of them know we're after them	our nation has been on a multi-pronged strategy to keep our country safer
__label__noRel	it's also because of reason and science	The Catholic social doctrine talks about taking care of those who -- who can't take care of themselves, people who need help
__label__noRel	Our plan is better	I know this to be a fac
__label__Support	If we don't build more B-2 bombers in California and we lost about 500,000 jobs out in California, because of this devastation, these big, big cuts	We had to make cuts
__label__Support	I don't know what it would be, but if we can come up with one, I think the world will be better off	I never suggested where the weapons should be or what kind
__label__noRel	not yet been able to do to bring people to the table	It's like a huge tax gap
__label__noRel	They also have the Haqqani Network and the Taliban existent within their country	what we've also done is engaged these governments in the kind of reforms that are actually going to make a difference in people's lives day to day
__label__noRel	under President Johnson, in spite of the massive investment in the Vietnam War, he turned over a balanced budget to Mr. Nixon	always in the past we've had an ability to have a strong defense
__label__noRel	as on so many other issues, I have a fundamental difference from the present administration	I have never said we should write it into law if there is evidence that that goal cannot be achieved
__label__noRel	That was the objective	I vowed to our countrymen that I would do everything I could to protect the American people
__label__Support	with safer mines, but also it's clean burning	We need to concentrate our research and development effort on uh coal burning and extraction
__label__Support	Chris Reeve exercises every single day to keep those muscles alive for the day when he believes he can walk again, and I want him to walk again	I think we can save lives
__label__Support	which was Mr. Benson's theory.	I don't believe that it's very much different from Mr. Benson's.
__label__Support	hooking up all of our classrooms to the Internet by the year 2000	I think a targeted tax cut is better for our future
__label__noRel	The Vice President met with them earlier this year	in the end there's not going to be peace until he goes
__label__Support	everyone talking about this matter of prolife	I think that this is what we should concentrate on
__label__noRel	So walk with me in my neighborhood, go back to my old neighborhood in Claymont, an old steel town or go up to Scranton with me	making sure we can help their children get to college
__label__Support	I've been to countries where governments either forced women to have abortions, like they used to do in China, or forced women to bear children, like they used to do in Romania	The government has no business in the decisions that women make with their families in accordance with their faith, with medical advice
__label__noRel	I believe that the purpose of politics is to give people the tools to make the most of their own lives	you can't be for school choice
__label__Support	Now, it's $4.00 a gallon	you're paying more
__label__noRel	Ahmadinejad is not the most powerful person in Iran	I was called naive when I suggested that we need to look at exploring contacts with Iran
__label__noRel	That's diplomacy	then they did an article in a major magazine, shortly after the war started
__label__Attack	no, I'm for the sanctity of life	See the millions of these killings accumulate
__label__noRel	He's not been a maverick when it comes to education	They are looking for change
__label__noRel	our priorities make a difference	what's important is occasionally you've got to say no, to -- to -- to folks both in your own party and in the other party
__label__noRel	so does Governor Bush	I think we've got to have welfare reform taken to the next stage
__label__Support	we are so out of balance strategically that we lack a deterrent to a possible first assault	We need the missile
__label__noRel	It's time to do it because we have run up so much debt that time is no longer our friend	Invest in American jobs, American education, control health care costs, bring this country together again
__label__Support	It finally gets to 50 cents at the end of the 5th year	I think "punish" is the wrong word
__label__Support	I'm really strongly committed to clean water and clean air, and cleaning up the new kinds of challenges like global warming	We differ on the kinds of appointments that we would make
__label__noRel	I did a study on it	individualism is very important
__label__Attack	He goes out and says the man is questioning my patriotism	I'm not questioning his patriotism
__label__noRel	we have four times the number of troops in Iraq	Senator Obama calls for more troops
__label__noRel	It has killed jobs	the idea of cutting $716 billion from Medicare to be able to balance the additional cost of Obamacare is, in my opinion, a mistake
__label__Attack	They were wrong	He talked about a nuclear freeze back at the time when I was in Europe trying to convince European public opinion that we ought to go forward with the deployment of the INF weapons
__label__noRel	I gave, in September of 1974, an opportunity for all draft evaders, all deserters, to come in voluntarily, clear their records by earning an opportunity to restore their good citizenship	Mr. Nixon resigned
__label__noRel	we must lead	we must direct
__label__noRel	I would say this with regard to this report, with regard to Gallup Polls of prestige abroad and everything else that we've been hearing about "what about American prestige abroad": America's prestige abroad will be just as high as the spokesmen for America allow it to be	we haven't had a moving economy
__label__Support	stop the federal government's program that now gives low-interest loans and job training funds to companies that will actually shut down and move to other countries	So more trade but on fair terms -- and favor investment in America
__label__noRel	It's been done before	That's coming from a Republican Congress working bipartisanly, 7 percent rating
__label__Support	We were told we would have a balanced budget in 1983	It was $200 billion deficit instead.
__label__Support	We heard Senator Kerry say the other night that there ought to be some kind of global test before U.S. troops are deployed preemptively to protect the United States	It's a consistent pattern over time of always being on the wrong side of defense issues
__label__noRel	It's a defective agreement	I did say I hoped it would be a good deal
__label__noRel	in order for us to be competitive	My dad was head of a car company
__label__noRel	He hasn't had a tough cross-examination-type press conference in over thirty days	he's yielded, and has permitted a boycott by the Arab countries of American businesses who trade with Israel
__label__Support	They're not left or right	I believe in them
__label__noRel	70 percent of the new jobs in America are created by small businesses	we're going to free ourselves from this dependency on Mideast oil
__label__noRel	I am the one who's in the middle on this	if you're talking about protecting the taxpayer against his friends in the US Congress, go back to what it was like when you had a Democratic president and a Democratic Congress
__label__noRel	in this campaign season, since Senator Dole's been a candidate, he has bragged about the fact that he voted against Medicare in the beginning, in 1965, one of only 12 members	I appreciate what Senator Dole did on the '83 Social Security commission
__label__Support	Iraq was not even close to the center of the war on terror before the president invaded it	that is not the judgment that a president of the United States ought to make
